name,address,website,phone_number
Global Advanced Technology LLC,"Second Floor, Flat No-22, Building No: 1/172 Block No: 363, Way No: 63, Al Mabela, Muscat, Oman Muscat OM, Muscat 122 Muscat OM, 122, Oman",,+968 9817 4448
Ultimate Solutions Technology LLC ERP - VAT,"Office No. 23, 2nd Floor, Bin Hayl-1, Azaiba, Muscat, Oman Muscat OM, 133, Oman",ultimate-om.com,+968 9666 2624
Software Systems LLC,"Muscat, Oman",ssloman.com,+968 24 477502
Kalsoft LLC,"PC 114, Fortune Tower 2nd - Floor, Office # 27, PO Box 1255, Muscat, Oman",kalsoft.com,+968 22 826191
Gulf Infotech LLC,"Office 2-A3, Coral Building, Dohat Al Adab Street, Al Khuwair St, 133, Oman",gulfinfotech.com,+968 22 006677
